Tasa de descuento \ Ocupación (% del proyectado),70%,85%,100%,115%,130%
5.00%,688424,979652,1270880,1562108,1853336
6.00%,375991,652735,929479,1206222,1482966
7.12%,60894,322644,584393,846143,1107892
8.00%,-163558,87243,338043,588843,839643
9.00%,-396465,-157295,81876,321046,560216
