Tasa de descuento \ Ocupación (% del proyectado),70%,85%,100%,115%,130%
5.00%,3,4,5,6,7
6.00%,1,1,3,3,5
7.12%,1,1,1,1,2
8.00%,0,1,1,1,1
9.00%,0,0,1,1,1
